name,image,video,project,link,path
SC1214 HIGH BPI,https://drive.google.com/thumbnail?id=1O7fCVE-1HH1WdkJDGU1zbiqVkiAXvJMC&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1O7fCVE-1HH1WdkJDGU1zbiqVkiAXvJMC,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 HIGH BPI
SC1214 LOW1 BPI,https://drive.google.com/thumbnail?id=1fjR13kBDZ8V85s_oGJRWC-ezh8HQKE7U&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1fjR13kBDZ8V85s_oGJRWC-ezh8HQKE7U,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 LOW1 BPI
SC1214 LOW2 BPI,https://drive.google.com/thumbnail?id=1ReWc1ARSJAP7wGV9PLwFz_5kX1wSg3ZH&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1ReWc1ARSJAP7wGV9PLwFz_5kX1wSg3ZH,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 LOW2 BPI
SC1214 MID1 BPI,https://drive.google.com/thumbnail?id=1IHP8KruQqoWJ0OzbD9XaElowGllwcYSQ&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1IHP8KruQqoWJ0OzbD9XaElowGllwcYSQ,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 MID1 BPI
SC1214 MID2 BPI,https://drive.google.com/thumbnail?id=1ZgnsBKAHEnKUoFL-iHZVndW32l5WyLvR&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1ZgnsBKAHEnKUoFL-iHZVndW32l5WyLvR,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 MID2 BPI
SO1214 HIGH BPI,https://drive.google.com/thumbnail?id=1cdxVECsE2rb7thHYwyDrRElSgABV6hs9&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1cdxVECsE2rb7thHYwyDrRElSgABV6hs9,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 HIGH BPI
SO1214 LOW1 BPI,https://drive.google.com/thumbnail?id=12REKi35qbqIZZDUlH_qFcvVmGRTdCw8D&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=12REKi35qbqIZZDUlH_qFcvVmGRTdCw8D,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 LOW1 BPI
SO1214 LOW2 BPI,https://drive.google.com/thumbnail?id=1AQTEO-2B9cKzKPBURUXemp6vkhPo-1uL&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1AQTEO-2B9cKzKPBURUXemp6vkhPo-1uL,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 LOW2 BPI
SO1214 MID1 BPI,https://drive.google.com/thumbnail?id=1Et05a9h1rYAw1xEtc6UhH4qi2KZIwxuk&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1Et05a9h1rYAw1xEtc6UhH4qi2KZIwxuk,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 MID1 BPI
SO1214 MID2 BPI,https://drive.google.com/thumbnail?id=1LTTVUpPmdsyPYCDRpdOel5bHjexoa4tt&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1LTTVUpPmdsyPYCDRpdOel5bHjexoa4tt,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 MID2 BPI
1BR HIGH CHINABANK,https://drive.google.com/thumbnail?id=13kJf4Up-GUVZs3pCCOrYoPTh27_K9gmT&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=13kJf4Up-GUVZs3pCCOrYoPTh27_K9gmT,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR HIGH CHINABANK
1BR LOW1 CHINABANK,https://drive.google.com/thumbnail?id=16KY3Yv_gIcuWEuqXmPCAn1OpmPdpJJ7j&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=16KY3Yv_gIcuWEuqXmPCAn1OpmPdpJJ7j,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR LOW1 CHINABANK
