name,image,video,project,path
1BR LOW2 CHINABANK,https://drive.google.com/uc?export=download&id=1wIakYGcAwKAnrKoIVsJtzoJa8BjlSJG9,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR LOW2 CHINABANK
1BR MID1 CHINABANK,https://drive.google.com/uc?export=download&id=1e-7XV4MlWiTN_h5N-qEg1IEfstU3AvBZ,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR MID1 CHINABANK
1BR MID2 CHINABANK,https://drive.google.com/uc?export=download&id=1avlv0GQ-p_aApz71t85VvkMMyaaOolKG,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR MID2 CHINABANK
SC1214 HIGH CHINABANK,https://drive.google.com/uc?export=download&id=1qRuBvYBwTR-O-ltUu2HyaYG3h-ph8wLm,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 HIGH CHINABANK
SC1214 LOW1 CHINABANK,https://drive.google.com/uc?export=download&id=1hI0SwPwtj7HKqSjab96guiQxgslH9QjA,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 LOW1 CHINABANK
SC1214 LOW2 CHINABANK,https://drive.google.com/uc?export=download&id=1gAvz0Z9ESq8uJrs16IUC8sEA3w5QQNvd,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 LOW2 CHINABANK
SC1214 MID1 CHINABANK,https://drive.google.com/uc?export=download&id=1BvICvZAJhrKZ8HCQ9GF6URH2GRMFIy2t,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 MID1 CHINABANK
SC1214 MID2 CHINABANK,https://drive.google.com/uc?export=download&id=1Epcn62h-7cPQ8OIP4j-v_dJA3hu5mKRn,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 MID2 CHINABANK
SO1214 HIGH CHINABANK,https://drive.google.com/uc?export=download&id=1Pagzz6vBC_eRgv5cYijwV3LNlMXmoucz,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 HIGH CHINABANK
SO1214 LOW1 CHINABANK,https://drive.google.com/uc?export=download&id=1bUJkuo8-G9u2-F6lqq5osTWRxplqCULI,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 LOW1 CHINABANK
SO1214 LOW2 CHINABANK,https://drive.google.com/uc?export=download&id=1Wv9bsbq4AeQlLo0yq5O83tM1xFrXDu-S,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 LOW2 CHINABANK
SO1214 MID1 CHINABANK,https://drive.google.com/uc?export=download&id=1zZgthd6m8oJm1nbHVLsRoOqw2_nc6GIa,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 MID1 CHINABANK
SO1214 MID2 CHINABANK,https://drive.google.com/uc?export=download&id=1MFOXxJ5DaMFPSasWC9EmY_4TXjH5XgSl,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 MID2 CHINABANK
